onset	duration	sample	type	value
0	5.04	1	trial	n/a
0.12	0.001	121	Stimulus	223
0.636	0.001	637	Stimulus	223
1.87	0.001	1871	Stimulus	18
5.04	5.04	5041	trial	n/a
5.16	0.001	5161	Stimulus	223
5.677	0.001	5678	Stimulus	223
6.91	0.001	6911	Stimulus	110
10.08	5.04	10081	trial	n/a
10.2	0.001	10201	Stimulus	223
10.717	0.001	10718	Stimulus	223
11.95	0.001	11951	Stimulus	20
15.12	5.04	15121	trial	n/a
15.24	0.001	15241	Stimulus	223
15.757	0.001	15758	Stimulus	223
16.99	0.001	16991	Stimulus	108
20.16	5.04	20161	trial	n/a
20.28	0.001	20281	Stimulus	223
20.796	0.001	20797	Stimulus	223
22.03	0.001	22031	Stimulus	13
25.2	5.04	25201	trial	n/a
25.32	0.001	25321	Stimulus	223
25.836	0.001	25837	Stimulus	223
27.07	0.001	27071	Stimulus	21
30.24	5.04	30241	trial	n/a
30.36	0.001	30361	Stimulus	223
30.876	0.001	30877	Stimulus	223
32.11	0.001	32111	Stimulus	104
35.28	5.04	35281	trial	n/a
35.4	0.001	35401	Stimulus	223
35.917	0.001	35918	Stimulus	223
37.15	0.001	37151	Stimulus	15
40.32	5.04	40321	trial	n/a
40.44	0.001	40441	Stimulus	223
40.956	0.001	40957	Stimulus	223
42.19	0.001	42191	Stimulus	101
45.36	5.04	45361	trial	n/a
45.48	0.001	45481	Stimulus	223
45.997	0.001	45998	Stimulus	223
47.23	0.001	47231	Stimulus	17
50.4	5.04	50401	trial	n/a
50.52	0.001	50521	Stimulus	223
51.037	0.001	51038	Stimulus	223
52.27	0.001	52271	Stimulus	103
55.44	5.04	55441	trial	n/a
55.56	0.001	55561	Stimulus	223
56.076	0.001	56077	Stimulus	223
57.31	0.001	57311	Stimulus	105
60.48	5.04	60481	trial	n/a
60.6	0.001	60601	Stimulus	223
61.117	0.001	61118	Stimulus	223
62.35	0.001	62351	Stimulus	19
65.52	5.04	65521	trial	n/a
65.64	0.001	65641	Stimulus	223
66.156	0.001	66157	Stimulus	223
67.39	0.001	67391	Stimulus	102
70.56	5.04	70561	trial	n/a
70.68	0.001	70681	Stimulus	223
71.197	0.001	71198	Stimulus	223
72.43	0.001	72431	Stimulus	106
75.6	5.04	75601	trial	n/a
75.72	0.001	75721	Stimulus	223
76.237	0.001	76238	Stimulus	223
77.47	0.001	77471	Stimulus	16
80.64	5.04	80641	trial	n/a
80.76	0.001	80761	Stimulus	223
81.277	0.001	81278	Stimulus	223
82.51	0.001	82511	Stimulus	107
85.68	5.04	85681	trial	n/a
85.8	0.001	85801	Stimulus	223
86.317	0.001	86318	Stimulus	223
87.55	0.001	87551	Stimulus	14
90.72	5.04	90721	trial	n/a
90.84	0.001	90841	Stimulus	223
91.357	0.001	91358	Stimulus	223
92.59	0.001	92591	Stimulus	11
95.76	5.04	95761	trial	n/a
95.88	0.001	95881	Stimulus	223
96.397	0.001	96398	Stimulus	223
97.63	0.001	97631	Stimulus	109
100.8	5.04	100801	trial	n/a
100.92	0.001	100921	Stimulus	223
101.437	0.001	101438	Stimulus	223
102.67	0.001	102671	Stimulus	12
105.84	5.04	105841	trial	n/a
105.96	0.001	105961	Stimulus	223
106.476	0.001	106477	Stimulus	223
107.71	0.001	107711	Stimulus	125
110.88	5.04	110881	trial	n/a
111	0.001	111001	Stimulus	223
111.517	0.001	111518	Stimulus	223
112.75	0.001	112751	Stimulus	127
115.92	5.04	115921	trial	n/a
116.04	0.001	116041	Stimulus	223
116.556	0.001	116557	Stimulus	223
117.79	0.001	117791	Stimulus	33
120.96	5.04	120961	trial	n/a
121.08	0.001	121081	Stimulus	223
121.596	0.001	121597	Stimulus	223
122.83	0.001	122831	Stimulus	132
126	5.04	126001	trial	n/a
126.121	0.001	126122	Stimulus	223
126.637	0.001	126638	Stimulus	223
127.87	0.001	127871	Stimulus	35
131.04	5.04	131041	trial	n/a
131.16	0.001	131161	Stimulus	223
131.677	0.001	131678	Stimulus	223
132.91	0.001	132911	Stimulus	126
136.08	5.04	136081	trial	n/a
136.199	0.001	136200	Stimulus	223
136.716	0.001	136717	Stimulus	223
137.95	0.001	137951	Stimulus	37
141.12	5.04	141121	trial	n/a
141.24	0.001	141241	Stimulus	223
141.757	0.001	141758	Stimulus	223
142.99	0.001	142991	Stimulus	34
146.16	5.04	146161	trial	n/a
146.28	0.001	146281	Stimulus	223
146.797	0.001	146798	Stimulus	223
148.03	0.001	148031	Stimulus	128
151.2	5.04	151201	trial	n/a
151.32	0.001	151321	Stimulus	223
151.836	0.001	151837	Stimulus	223
153.07	0.001	153071	Stimulus	38
156.24	5.04	156241	trial	n/a
156.36	0.001	156361	Stimulus	223
156.876	0.001	156877	Stimulus	223
158.11	0.001	158111	Stimulus	42
161.28	5.04	161281	trial	n/a
161.4	0.001	161401	Stimulus	223
161.917	0.001	161918	Stimulus	223
163.15	0.001	163151	Stimulus	130
166.32	5.04	166321	trial	n/a
166.44	0.001	166441	Stimulus	223
166.957	0.001	166958	Stimulus	223
168.19	0.001	168191	Stimulus	41
171.36	5.04	171361	trial	n/a
171.48	0.001	171481	Stimulus	223
171.997	0.001	171998	Stimulus	223
173.23	0.001	173231	Stimulus	131
176.4	5.04	176401	trial	n/a
176.52	0.001	176521	Stimulus	223
177.037	0.001	177038	Stimulus	223
178.27	0.001	178271	Stimulus	124
181.44	5.04	181441	trial	n/a
181.56	0.001	181561	Stimulus	223
182.076	0.001	182077	Stimulus	223
183.31	0.001	183311	Stimulus	39
186.48	5.04	186481	trial	n/a
186.6	0.001	186601	Stimulus	223
187.116	0.001	187117	Stimulus	223
188.35	0.001	188351	Stimulus	123
191.52	5.04	191521	trial	n/a
191.64	0.001	191641	Stimulus	223
192.156	0.001	192157	Stimulus	223
193.39	0.001	193391	Stimulus	36
196.56	5.04	196561	trial	n/a
196.68	0.001	196681	Stimulus	223
