onset	duration	sample	type	value
0	5.04	1	trial	n/a
1.87	0.001	1871	Stimulus	18
5.04	5.04	5041	trial	n/a
6.91	0.001	6911	Stimulus	110
10.08	5.04	10081	trial	n/a
11.95	0.001	11951	Stimulus	20
15.12	5.04	15121	trial	n/a
16.99	0.001	16991	Stimulus	108
20.16	5.04	20161	trial	n/a
22.03	0.001	22031	Stimulus	13
25.2	5.04	25201	trial	n/a
27.07	0.001	27071	Stimulus	21
30.24	5.04	30241	trial	n/a
32.11	0.001	32111	Stimulus	104
35.28	5.04	35281	trial	n/a
37.15	0.001	37151	Stimulus	15
40.32	5.04	40321	trial	n/a
42.19	0.001	42191	Stimulus	101
45.36	5.04	45361	trial	n/a
47.23	0.001	47231	Stimulus	17
50.4	5.04	50401	trial	n/a
52.27	0.001	52271	Stimulus	103
55.44	5.04	55441	trial	n/a
57.31	0.001	57311	Stimulus	105
60.48	5.04	60481	trial	n/a
62.35	0.001	62351	Stimulus	19
65.52	5.04	65521	trial	n/a
67.39	0.001	67391	Stimulus	102
70.56	5.04	70561	trial	n/a
72.43	0.001	72431	Stimulus	106
75.6	5.04	75601	trial	n/a
77.47	0.001	77471	Stimulus	16
80.64	5.04	80641	trial	n/a
82.51	0.001	82511	Stimulus	107
85.68	5.04	85681	trial	n/a
87.55	0.001	87551	Stimulus	14
90.72	5.04	90721	trial	n/a
92.59	0.001	92591	Stimulus	11
95.76	5.04	95761	trial	n/a
97.63	0.001	97631	Stimulus	109
100.8	5.04	100801	trial	n/a
102.67	0.001	102671	Stimulus	12
105.84	5.04	105841	trial	n/a
107.71	0.001	107711	Stimulus	125
110.88	5.04	110881	trial	n/a
112.75	0.001	112751	Stimulus	127
115.92	5.04	115921	trial	n/a
117.79	0.001	117791	Stimulus	33
120.96	5.04	120961	trial	n/a
122.83	0.001	122831	Stimulus	132
126	5.04	126001	trial	n/a
127.87	0.001	127871	Stimulus	35
131.04	5.04	131041	trial	n/a
132.91	0.001	132911	Stimulus	126
136.08	5.04	136081	trial	n/a
137.95	0.001	137951	Stimulus	37
141.12	5.04	141121	trial	n/a
142.99	0.001	142991	Stimulus	34
146.16	5.04	146161	trial	n/a
148.03	0.001	148031	Stimulus	128
151.2	5.04	151201	trial	n/a
153.07	0.001	153071	Stimulus	38
156.24	5.04	156241	trial	n/a
158.11	0.001	158111	Stimulus	42
161.28	5.04	161281	trial	n/a
163.15	0.001	163151	Stimulus	130
166.32	5.04	166321	trial	n/a
168.19	0.001	168191	Stimulus	41
171.36	5.04	171361	trial	n/a
173.23	0.001	173231	Stimulus	131
176.4	5.04	176401	trial	n/a
178.27	0.001	178271	Stimulus	124
181.44	5.04	181441	trial	n/a
183.31	0.001	183311	Stimulus	39
186.48	5.04	186481	trial	n/a
188.35	0.001	188351	Stimulus	123
191.52	5.04	191521	trial	n/a
193.39	0.001	193391	Stimulus	36
196.56	5.04	196561	trial	n/a
198.43	0.001	198431	Stimulus	40
201.6	5.04	201601	trial	n/a
203.47	0.001	203471	Stimulus	129
206.64	5.04	206641	trial	n/a
208.51	0.001	208511	Stimulus	122
211.68	5.04	211681	trial	n/a
213.55	0.001	213551	Stimulus	2
216.72	5.04	216721	trial	n/a
218.59	0.001	218591	Stimulus	6
221.76	5.04	221761	trial	n/a
223.63	0.001	223631	Stimulus	116
226.8	5.04	226801	trial	n/a
228.67	0.001	228671	Stimulus	121
231.84	5.04	231841	trial	n/a
233.71	0.001	233711	Stimulus	119
236.88	5.04	236881	trial	n/a
238.75	0.001	238751	Stimulus	7
241.92	5.04	241921	trial	n/a
243.79	0.001	243791	Stimulus	111
246.96	5.04	246961	trial	n/a
248.83	0.001	248831	Stimulus	9
252	5.04	252001	trial	n/a
253.87	0.001	253871	Stimulus	115
257.04	5.04	257041	trial	n/a
258.91	0.001	258911	Stimulus	10
262.08	5.04	262081	trial	n/a
263.95	0.001	263951	Stimulus	113
267.12	5.04	267121	trial	n/a
268.99	0.001	268991	Stimulus	3
272.16	5.04	272161	trial	n/a
274.03	0.001	274031	Stimulus	118
277.2	5.04	277201	trial	n/a
279.07	0.001	279071	Stimulus	117
282.24	5.04	282241	trial	n/a
284.11	0.001	284111	Stimulus	5
287.28	5.04	287281	trial	n/a
289.15	0.001	289151	Stimulus	114
292.32	5.04	292321	trial	n/a
294.19	0.001	294191	Stimulus	112
297.36	5.04	297361	trial	n/a
299.23	0.001	299231	Stimulus	8
302.4	5.04	302401	trial	n/a
304.27	0.001	304271	Stimulus	4
307.44	5.04	307441	trial	n/a
309.31	0.001	309311	Stimulus	120
312.48	5.04	312481	trial	n/a
314.35	0.001	314351	Stimulus	1
317.52	5.04	317521	trial	n/a
319.39	0.001	319391	Stimulus	141
322.56	5.04	322561	trial	n/a
324.43	0.001	324431	Stimulus	135
327.6	5.04	327601	trial	n/a
329.47	0.001	329471	Stimulus	28
332.64	5.04	332641	trial	n/a
334.51	0.001	334511	Stimulus	136
337.68	5.04	337681	trial	n/a
339.55	0.001	339551	Stimulus	137
342.72	5.04	342721	trial	n/a
344.59	0.001	344591	Stimulus	29
347.76	5.04	347761	trial	n/a
