onset	duration	sample	type	value
0	5.04	1	trial	n/a
0.32	0.001	321	Stimulus	222
0.837	0.001	838	Stimulus	222
1.87	0.001	1871	Stimulus	141
5.04	5.04	5041	trial	n/a
5.376	0.001	5377	Stimulus	222
5.893	0.001	5894	Stimulus	222
6.91	0.001	6911	Stimulus	138
10.08	5.04	10081	trial	n/a
10.4	0.001	10401	Stimulus	222
10.916	0.001	10917	Stimulus	222
11.95	0.001	11951	Stimulus	28
15.12	5.04	15121	trial	n/a
15.456	0.001	15457	Stimulus	222
15.973	0.001	15974	Stimulus	222
16.99	0.001	16991	Stimulus	27
20.16	5.04	20161	trial	n/a
20.48	0.001	20481	Stimulus	222
20.997	0.001	20998	Stimulus	222
22.03	0.001	22031	Stimulus	137
25.2	5.04	25201	trial	n/a
25.537	0.001	25538	Stimulus	222
26.053	0.001	26054	Stimulus	222
27.07	0.001	27071	Stimulus	142
30.24	5.04	30241	trial	n/a
30.544	0.001	30545	Stimulus	222
31.06	0.001	31061	Stimulus	222
32.11	0.001	32111	Stimulus	25
35.28	5.04	35281	trial	n/a
35.616	0.001	35617	Stimulus	222
36.133	0.001	36134	Stimulus	222
37.15	0.001	37151	Stimulus	140
40.32	5.04	40321	trial	n/a
40.606	0.001	40607	Stimulus	222
41.123	0.001	41124	Stimulus	222
42.19	0.001	42191	Stimulus	133
45.36	5.04	45361	trial	n/a
45.697	0.001	45698	Stimulus	222
46.214	0.001	46215	Stimulus	222
47.23	0.001	47231	Stimulus	23
50.4	5.04	50401	trial	n/a
50.737	0.001	50738	Stimulus	222
51.254	0.001	51255	Stimulus	222
52.27	0.001	52271	Stimulus	134
55.44	5.04	55441	trial	n/a
55.777	0.001	55778	Stimulus	222
56.294	0.001	56295	Stimulus	222
57.31	0.001	57311	Stimulus	26
60.48	5.04	60481	trial	n/a
60.817	0.001	60818	Stimulus	222
61.334	0.001	61335	Stimulus	222
62.35	0.001	62351	Stimulus	31
65.52	5.04	65521	trial	n/a
65.856	0.001	65857	Stimulus	222
66.373	0.001	66374	Stimulus	222
67.39	0.001	67391	Stimulus	139
70.56	5.04	70561	trial	n/a
70.897	0.001	70898	Stimulus	222
71.414	0.001	71415	Stimulus	222
72.43	0.001	72431	Stimulus	132
75.6	5.04	75601	trial	n/a
75.887	0.001	75888	Stimulus	222
76.404	0.001	76405	Stimulus	222
77.47	0.001	77471	Stimulus	135
80.64	5.04	80641	trial	n/a
80.977	0.001	80978	Stimulus	222
81.493	0.001	81494	Stimulus	222
82.51	0.001	82511	Stimulus	30
85.68	5.04	85681	trial	n/a
86.017	0.001	86018	Stimulus	222
86.534	0.001	86535	Stimulus	222
87.55	0.001	87551	Stimulus	24
90.72	5.04	90721	trial	n/a
91.057	0.001	91058	Stimulus	222
91.574	0.001	91575	Stimulus	222
92.59	0.001	92591	Stimulus	29
95.76	5.04	95761	trial	n/a
96.096	0.001	96097	Stimulus	222
96.613	0.001	96614	Stimulus	222
97.63	0.001	97631	Stimulus	22
100.8	5.04	100801	trial	n/a
101.136	0.001	101137	Stimulus	222
101.653	0.001	101654	Stimulus	222
102.67	0.001	102671	Stimulus	136
105.84	5.04	105841	trial	n/a
106.177	0.001	106178	Stimulus	222
106.693	0.001	106694	Stimulus	222
107.71	0.001	107711	Stimulus	108
110.88	5.04	110881	trial	n/a
111.217	0.001	111218	Stimulus	222
111.733	0.001	111734	Stimulus	222
112.75	0.001	112751	Stimulus	15
115.92	5.04	115921	trial	n/a
116.24	0.001	116241	Stimulus	222
116.757	0.001	116758	Stimulus	222
117.79	0.001	117791	Stimulus	104
120.96	5.04	120961	trial	n/a
121.297	0.001	121298	Stimulus	222
121.814	0.001	121815	Stimulus	222
122.83	0.001	122831	Stimulus	101
126	5.04	126001	trial	n/a
126.336	0.001	126337	Stimulus	222
126.853	0.001	126854	Stimulus	222
127.87	0.001	127871	Stimulus	18
131.04	5.04	131041	trial	n/a
131.343	0.001	131344	Stimulus	222
131.86	0.001	131861	Stimulus	222
132.91	0.001	132911	Stimulus	16
136.08	5.04	136081	trial	n/a
136.35	0.001	136351	Stimulus	222
136.867	0.001	136868	Stimulus	222
137.95	0.001	137951	Stimulus	111
141.12	5.04	141121	trial	n/a
141.456	0.001	141457	Stimulus	222
141.973	0.001	141974	Stimulus	222
142.99	0.001	142991	Stimulus	106
146.16	5.04	146161	trial	n/a
146.43	0.001	146431	Stimulus	222
146.947	0.001	146948	Stimulus	222
148.03	0.001	148031	Stimulus	17
151.2	5.04	151201	trial	n/a
151.537	0.001	151538	Stimulus	222
152.054	0.001	152055	Stimulus	222
153.07	0.001	153071	Stimulus	19
156.24	5.04	156241	trial	n/a
156.576	0.001	156577	Stimulus	222
157.093	0.001	157094	Stimulus	222
158.11	0.001	158111	Stimulus	102
161.28	5.04	161281	trial	n/a
161.617	0.001	161618	Stimulus	222
162.134	0.001	162135	Stimulus	222
163.15	0.001	163151	Stimulus	14
166.32	5.04	166321	trial	n/a
166.657	0.001	166658	Stimulus	222
167.173	0.001	167174	Stimulus	222
168.19	0.001	168191	Stimulus	13
171.36	5.04	171361	trial	n/a
171.696	0.001	171697	Stimulus	222
172.213	0.001	172214	Stimulus	222
173.23	0.001	173231	Stimulus	105
176.4	5.04	176401	trial	n/a
176.703	0.001	176704	Stimulus	222
177.22	0.001	177221	Stimulus	222
178.27	0.001	178271	Stimulus	21
181.44	5.04	181441	trial	n/a
181.777	0.001	181778	Stimulus	222
182.293	0.001	182294	Stimulus	222
183.31	0.001	183311	Stimulus	20
186.48	5.04	186481	trial	n/a
186.75	0.001	186751	Stimulus	222
187.266	0.001	187267	Stimulus	222
188.35	0.001	188351	Stimulus	103
191.52	5.04	191521	trial	n/a
191.823	0.001	191824	Stimulus	222
192.34	0.001	192341	Stimulus	222
193.39	0.001	193391	Stimulus	109
196.56	5.04	196561	trial	n/a
196.896	0.001	196897	Stimulus	222
197.413	0.001	197414	Stimulus	222
198.43	0.001	198431	Stimulus	107
201.6	5.04	201601	trial	n/a
201.853	0.001	201854	Stimulus	222
202.42	0.001	202421	Stimulus	222
203.47	0.001	203471	Stimulus	12
206.64	5.04	206641	trial	n/a
206.91	0.001	206911	Stimulus	222
207.427	0.001	207428	Stimulus	222
208.51	0.001	208511	Stimulus	110
211.68	5.04	211681	trial	n/a
212.017	0.001	212018	Stimulus	222
212.534	0.001	212535	Stimulus	222
213.55	0.001	213551	Stimulus	129
216.72	5.04	216721	trial	n/a
217.057	0.001	217058	Stimulus	222
217.574	0.001	217575	Stimulus	222
218.59	0.001	218591	Stimulus	40
221.76	5.04	221761	trial	n/a
222.096	0.001	222097	Stimulus	222
222.613	0.001	222614	Stimulus	222
223.63	0.001	223631	Stimulus	127
226.8	5.04	226801	trial	n/a
227.137	0.001	227138	Stimulus	222
227.653	0.001	227654	Stimulus	222
228.67	0.001	228671	Stimulus	126
231.84	5.04	231841	trial	n/a
232.177	0.001	232178	Stimulus	222
232.694	0.001	232695	Stimulus	222
233.71	0.001	233711	Stimulus	128
236.88	5.04	236881	trial	n/a
237.15	0.001	237151	Stimulus	222
237.666	0.001	237667	Stimulus	222
238.75	0.001	238751	Stimulus	35
241.92	5.04	241921	trial	n/a
242.256	0.001	242257	Stimulus	222
242.773	0.001	242774	Stimulus	222
243.79	0.001	243791	Stimulus	122
246.96	5.04	246961	trial	n/a
247.296	0.001	247297	Stimulus	222
247.813	0.001	247814	Stimulus	222
248.83	0.001	248831	Stimulus	37
252	5.04	252001	trial	n/a
252.269	0.001	252270	Stimulus	222
252.786	0.001	252787	Stimulus	222
253.87	0.001	253871	Stimulus	36
257.04	5.04	257041	trial	n/a
257.31	0.001	257311	Stimulus	222
257.827	0.001	257828	Stimulus	222
258.91	0.001	258911	Stimulus	39
262.08	5.04	262081	trial	n/a
262.383	0.001	262384	Stimulus	222
262.9	0.001	262901	Stimulus	222
263.95	0.001	263951	Stimulus	33
267.12	5.04	267121	trial	n/a
267.457	0.001	267458	Stimulus	222
267.974	0.001	267975	Stimulus	222
268.99	0.001	268991	Stimulus	42
272.16	5.04	272161	trial	n/a
272.463	0.001	272464	Stimulus	222
272.98	0.001	272981	Stimulus	222
274.03	0.001	274031	Stimulus	124
277.2	5.04	277201	trial	n/a
277.469	0.001	277470	Stimulus	222
277.986	0.001	277987	Stimulus	222
279.07	0.001	279071	Stimulus	34
282.24	5.04	282241	trial	n/a
282.577	0.001	282578	Stimulus	222
283.094	0.001	283095	Stimulus	222
284.11	0.001	284111	Stimulus	125
287.28	5.04	287281	trial	n/a
287.616	0.001	287617	Stimulus	222
288.133	0.001	288134	Stimulus	222
289.15	0.001	289151	Stimulus	123
292.32	5.04	292321	trial	n/a
292.656	0.001	292657	Stimulus	222
293.173	0.001	293174	Stimulus	222
294.19	0.001	294191	Stimulus	41
297.36	5.04	297361	trial	n/a
297.63	0.001	297631	Stimulus	222
298.146	0.001	298147	Stimulus	222
299.23	0.001	299231	Stimulus	38
302.4	5.04	302401	trial	n/a
302.737	0.001	302738	Stimulus	222
303.253	0.001	303254	Stimulus	222
304.27	0.001	304271	Stimulus	130
307.44	5.04	307441	trial	n/a
307.776	0.001	307777	Stimulus	222
308.293	0.001	308294	Stimulus	222
309.31	0.001	309311	Stimulus	32
312.48	5.04	312481	trial	n/a
312.817	0.001	312818	Stimulus	222
313.333	0.001	313334	Stimulus	222
314.35	0.001	314351	Stimulus	131
317.52	5.04	317521	trial	n/a
317.857	0.001	317858	Stimulus	222
318.373	0.001	318374	Stimulus	222
319.39	0.001	319391	Stimulus	114
322.56	5.04	322561	trial	n/a
322.896	0.001	322897	Stimulus	222
323.413	0.001	323414	Stimulus	222
324.43	0.001	324431	Stimulus	3
327.6	5.04	327601	trial	n/a
327.936	0.001	327937	Stimulus	222
328.453	0.001	328454	Stimulus	222
329.47	0.001	329471	Stimulus	121
332.64	5.04	332641	trial	n/a
332.91	0.001	332911	Stimulus	222
333.426	0.001	333427	Stimulus	222
334.51	0.001	334511	Stimulus	112
337.68	5.04	337681	trial	n/a
337.95	0.001	337951	Stimulus	222
338.466	0.001	338467	Stimulus	222
339.55	0.001	339551	Stimulus	118
342.72	5.04	342721	trial	n/a
343.056	0.001	343057	Stimulus	222
343.573	0.001	343574	Stimulus	222
344.59	0.001	344591	Stimulus	6
347.76	5.04	347761	trial	n/a
348.096	0.001	348097	Stimulus	222
348.613	0.001	348614	Stimulus	222
349.63	0.001	349631	Stimulus	5
352.8	5.04	352801	trial	n/a
353.137	0.001	353138	Stimulus	222
353.654	0.001	353655	Stimulus	222
354.67	0.001	354671	Stimulus	9
